Parent.Profile.Name,PermissionsCreate,PermissionsDelete,PermissionsEdit,PermissionsModifyAllRecords,PermissionsRead,PermissionsViewAllRecords,SobjectType
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Account
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,AIInsightReason
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,AIRecordInsight
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,AlternativePaymentMethod
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,ApiAnomalyEventStore
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,AppAnalyticsQueryRequest
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,AppUsageAssignment
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Asset
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,AssetAction
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,AssetActionSource
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,AssetStatePeriod
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,AsyncOperationLog
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,AuthorizationForm
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,AuthorizationFormConsent
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,AuthorizationFormDataUse
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,AuthorizationFormText
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,BackgroundOperation
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,BusinessBrand
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Campaign
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,CardPaymentMethod
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Case
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,ChangeRequest
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,CommSubscription
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,CommSubscriptionChannelType
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,CommSubscriptionConsent
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,CommSubscriptionTiming
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,ConsumptionSchedule
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Contact
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,ContactPointAddress
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,ContactPointConsent
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,ContactPointEmail
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,ContactPointPhone
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,ContactPointTypeConsent
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,ContactRequest
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Contract
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,ContractLineItem
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,CredentialStuffingEventStore
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,CreditMemo
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,CreditMemoInvApplication
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Customer
Analytics Cloud Integration User,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,DandBCompany
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,DataUseLegalBasis
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,DataUsePurpose
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,DigitalWallet
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Document
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,DuplicateRecordSet
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,EngagementChannelType
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Entitlement
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,EntitlementContact
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Equipment_Maintenance_Item__c
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FinanceBalanceSnapshot
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FinanceTransaction
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,General_Information__c
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,GtwyProvPaymentMethodType
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Idea
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Image
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Incident
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Individual
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Invoice
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Lead
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,LegalEntity
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Location
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,LocationGroup
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,LocationGroupAssignment
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Macro
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,MemberPlan__c
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,MessagingEndUser
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,MessagingSession
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Opportunity
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Order
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,PartyConsent
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Payment
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,PaymentAuthAdjustment
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,PaymentAuthorization
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,PaymentGateway
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,PaymentGatewayLog
Analytics Cloud Integration User,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,PaymentGroup
